discounted_distance
i,steps,all_found,taken_down,frac_area_covered,mean_distance_travelled,total_distance_covered,hider_frac_found,all_found
475,43,1,0,0.1075,43.0,43.0,1.0,1
476,32,0,1,0.07,30.0,30.0,0.25,0
477,5,0,1,0.0075,3.0,3.0,0.0,0
478,33,0,1,0.0775,31.0,31.0,0.25,0
479,47,0,0,0.115,46.0,46.0,0.75,0
480,32,0,1,0.075,30.0,30.0,0.75,0
481,15,0,1,0.0325,13.0,13.0,0.0,0
482,32,0,0,0.0775,31.0,31.0,0.75,0
483,37,0,0,0.0875,36.0,36.0,0.75,0
484,45,0,1,0.105,43.0,43.0,0.5,0
485,21,0,1,0.0475,19.0,19.0,0.25,0
486,37,1,0,0.0925,37.0,37.0,1.0,1
487,26,0,1,0.06,24.0,24.0,0.25,0
488,10,0,1,0.02,8.0,8.0,0.0,0
489,15,0,1,0.0325,13.0,13.0,0.0,0
490,12,0,1,0.025,10.0,10.0,0.5,0
491,30,1,0,0.0725,30.0,30.0,1.0,1
492,12,0,1,0.025,10.0,10.0,0.25,0
493,51,0,1,0.1225,49.0,49.0,0.25,0
494,12,0,1,0.025,10.0,10.0,0.0,0
495,47,0,0,0.115,46.0,46.0,0.75,0
496,12,0,1,0.025,10.0,10.0,0.25,0
497,25,0,1,0.0575,23.0,23.0,0.25,0
498,11,0,1,0.02,9.0,9.0,0.5,0
499,7,0,1,0.0125,5.0,5.0,0.25,0
500,11,0,1,0.0225,9.0,9.0,0.0,0
501,48,0,0,0.1175,47.0,47.0,0.75,0
502,37,0,1,0.0875,35.0,35.0,0.75,0
503,20,0,1,0.045,18.0,18.0,0.25,0
504,25,0,1,0.0575,23.0,23.0,0.25,0
505,36,0,1,0.085,34.0,34.0,0.5,0
506,41,0,1,0.0975,39.0,39.0,0.25,0
507,9,0,1,0.0175,7.0,7.0,0.25,0
508,19,0,1,0.0425,17.0,17.0,0.25,0
509,23,1,0,0.0575,23.0,23.0,1.0,1
510,26,0,1,0.06,24.0,24.0,0.75,0
511,57,0,0,0.14,56.0,56.0,0.75,0
512,49,0,0,0.12,48.0,48.0,0.75,0
513,9,0,1,0.0175,7.0,7.0,0.0,0
514,3,0,1,0.0025,1.0,1.0,0.0,0
