traverse_p_qa
i,steps,all_found,taken_down,frac_area_covered,mean_distance_travelled,total_distance_covered,hider_frac_found,all_found
448,37,0,3,0.0875,11.4,57.0,0.3333333333333333,0
449,55,0,3,0.1325,25.6,128.0,0.6666666666666666,0
450,49,1,1,0.225,26.6,133.0,1.0,1
451,34,0,3,0.0825,12.8,64.0,0.0,0
452,32,1,0,0.1025,19.2,96.0,1.0,1
453,22,1,1,0.1,13.0,65.0,1.0,1
454,77,0,3,0.24,33.2,166.0,0.6666666666666666,0
455,24,0,3,0.06,11.2,56.0,0.3333333333333333,0
456,75,0,3,0.26,25.8,129.0,0.6666666666666666,0
457,39,0,3,0.0925,13.2,66.0,0.3333333333333333,0
458,32,0,3,0.075,12.4,62.0,0.3333333333333333,0
459,32,0,3,0.075,18.0,90.0,0.0,0
460,42,1,1,0.2025,20.6,103.0,1.0,1
461,75,1,1,0.255,37.2,186.0,1.0,1
462,58,0,3,0.14,25.2,126.0,0.6666666666666666,0
463,87,1,2,0.2025,25.0,125.0,1.0,1
464,58,0,3,0.14,12.8,64.0,0.6666666666666666,0
465,41,1,1,0.1425,23.2,116.0,1.0,1
466,19,0,3,0.0425,10.2,51.0,0.0,0
467,53,0,3,0.2475,25.0,125.0,0.6666666666666666,0
468,35,0,3,0.08,11.4,57.0,0.3333333333333333,0
469,52,1,1,0.175,29.0,145.0,1.0,1
470,23,1,1,0.1075,13.4,67.0,1.0,1
471,64,0,3,0.155,24.0,120.0,0.3333333333333333,0
472,41,0,3,0.0975,21.0,105.0,0.6666666666666666,0
473,66,1,1,0.25,29.8,149.0,1.0,1
474,71,1,2,0.1675,24.6,123.0,1.0,1
475,82,0,3,0.2125,22.4,112.0,0.6666666666666666,0
476,73,0,3,0.2025,30.4,152.0,0.6666666666666666,0
477,65,1,1,0.21,29.6,148.0,1.0,1
