lidbetter
i,steps,all_found,taken_down,frac_area_covered,mean_distance_travelled,total_distance_covered,hider_frac_found,all_found
402,52,0,10,0.11,13.6,136.0,0.5,0
403,75,1,9,0.17,31.6,316.0,1.0,1
404,46,1,9,0.105,36.9,369.0,1.0,1
405,50,1,7,0.125,34.8,348.0,1.0,1
406,39,1,8,0.0975,18.0,180.0,1.0,1
407,68,1,9,0.1625,42.8,428.0,1.0,1
408,65,0,10,0.1375,28.0,280.0,0.5,0
409,70,1,8,0.1725,38.0,380.0,1.0,1
410,36,1,7,0.09,17.0,170.0,1.0,1
411,66,1,5,0.16,50.3,503.0,1.0,1
412,50,1,8,0.125,41.4,414.0,1.0,1
413,48,1,8,0.105,18.6,186.0,1.0,1
414,53,1,8,0.13,31.2,312.0,1.0,1
415,56,1,6,0.1375,38.0,380.0,1.0,1
416,54,0,10,0.13,39.8,398.0,0.0,0
417,62,1,8,0.155,31.2,312.0,1.0,1
418,65,1,8,0.145,38.9,389.0,1.0,1
419,43,1,6,0.1075,36.9,369.0,1.0,1
420,86,1,6,0.2075,55.3,553.0,1.0,1
421,97,1,8,0.2375,57.4,574.0,1.0,1
422,62,1,7,0.135,44.4,444.0,1.0,1
423,49,0,10,0.115,17.2,172.0,0.5,0
424,26,1,8,0.065,20.4,204.0,1.0,1
425,78,1,5,0.1725,58.8,588.0,1.0,1
426,62,0,10,0.1425,30.1,301.0,0.5,0
427,100,1,9,0.25,69.7,697.0,1.0,1
428,30,1,4,0.075,29.3,293.0,1.0,1
429,69,1,7,0.1675,44.0,440.0,1.0,1
430,49,1,6,0.1225,36.4,364.0,1.0,1
431,51,1,8,0.1225,28.0,280.0,1.0,1
432,64,1,8,0.16,42.3,423.0,1.0,1
433,43,1,5,0.1075,39.5,395.0,1.0,1
434,58,1,5,0.1,44.5,445.0,1.0,1
435,22,1,9,0.055,12.1,121.0,1.0,1
436,92,1,7,0.2225,54.0,540.0,1.0,1
437,51,1,4,0.1275,40.5,405.0,1.0,1
438,93,1,9,0.215,46.2,462.0,1.0,1
439,24,0,10,0.055,16.6,166.0,0.5,0
440,81,1,9,0.1825,25.9,259.0,1.0,1
441,67,1,5,0.165,48.7,487.0,1.0,1
442,84,1,8,0.1875,31.9,319.0,1.0,1
443,46,1,6,0.0975,33.3,333.0,1.0,1
444,57,1,6,0.14,43.7,437.0,1.0,1
445,43,1,4,0.1075,35.7,357.0,1.0,1
446,55,0,10,0.1325,31.9,319.0,0.5,0
447,51,1,3,0.125,44.4,444.0,1.0,1
448,20,1,9,0.05,7.2,72.0,1.0,1
449,22,0,10,0.05,18.4,184.0,0.5,0
450,19,1,9,0.0375,9.7,97.0,1.0,1
451,42,1,5,0.105,35.6,356.0,1.0,1
452,34,1,7,0.085,27.6,276.0,1.0,1
453,74,1,7,0.1825,61.9,619.0,1.0,1
454,41,1,8,0.1025,22.6,226.0,1.0,1
455,59,1,7,0.1475,41.2,412.0,1.0,1
456,60,1,6,0.105,35.4,354.0,1.0,1
457,47,1,5,0.1,38.7,387.0,1.0,1
458,46,1,7,0.115,34.9,349.0,1.0,1
459,78,1,8,0.1925,47.6,476.0,1.0,1
460,67,1,6,0.1625,50.1,501.0,1.0,1
461,41,1,8,0.085,28.6,286.0,1.0,1
462,38,1,9,0.095,22.5,225.0,1.0,1
463,39,0,10,0.0925,22.6,226.0,0.0,0
464,44,0,10,0.105,13.2,132.0,0.0,0
465,57,1,8,0.1425,50.0,500.0,1.0,1
466,28,1,8,0.07,12.8,128.0,1.0,1
467,93,1,9,0.2125,28.5,285.0,1.0,1
468,67,1,8,0.16,35.1,351.0,1.0,1
469,70,1,6,0.1725,50.9,509.0,1.0,1
470,50,0,10,0.12,32.3,323.0,0.5,0
471,57,1,7,0.1425,37.1,371.0,1.0,1
472,39,1,6,0.0975,19.8,198.0,1.0,1
473,51,0,10,0.115,26.5,265.0,0.5,0
474,31,1,2,0.0775,29.0,290.0,1.0,1
475,86,1,9,0.2125,40.6,406.0,1.0,1
476,40,1,8,0.1,27.3,273.0,1.0,1
477,50,1,9,0.125,26.0,260.0,1.0,1
478,61,1,9,0.1475,27.7,277.0,1.0,1
479,24,0,10,0.055,18.6,186.0,0.0,0
480,26,1,4,0.065,20.2,202.0,1.0,1
481,41,1,7,0.1025,24.9,249.0,1.0,1
482,90,0,10,0.215,40.7,407.0,0.5,0
483,52,1,7,0.125,35.9,359.0,1.0,1
484,32,0,10,0.075,13.5,135.0,0.0,0
485,60,1,8,0.1475,36.4,364.0,1.0,1
486,72,1,6,0.1775,42.8,428.0,1.0,1
487,59,0,10,0.1175,21.0,210.0,0.0,0
488,19,1,7,0.0425,9.8,98.0,1.0,1
489,54,1,5,0.1325,37.6,376.0,1.0,1
490,22,1,8,0.055,18.8,188.0,1.0,1
491,36,1,2,0.09,34.4,344.0,1.0,1
492,79,1,9,0.195,43.5,435.0,1.0,1
493,78,1,8,0.1925,31.6,316.0,1.0,1
494,87,1,9,0.2125,36.6,366.0,1.0,1
495,22,0,10,0.05,15.9,159.0,0.5,0
496,27,1,4,0.0675,18.6,186.0,1.0,1
497,52,1,7,0.1275,38.1,381.0,1.0,1
498,66,1,8,0.16,36.4,364.0,1.0,1
499,39,1,4,0.0975,31.8,318.0,1.0,1
500,25,1,3,0.0625,24.7,247.0,1.0,1
501,30,0,10,0.07,12.4,124.0,0.0,0
502,25,1,7,0.0625,19.4,194.0,1.0,1
503,65,1,6,0.1625,39.3,393.0,1.0,1
504,28,1,5,0.07,24.5,245.0,1.0,1
505,14,1,8,0.035,8.4,84.0,1.0,1
506,37,1,7,0.09,22.2,222.0,1.0,1
507,57,1,9,0.1275,29.1,291.0,1.0,1
508,70,1,7,0.1725,47.4,474.0,1.0,1
509,46,1,8,0.115,22.8,228.0,1.0,1
510,76,1,7,0.1825,56.5,565.0,1.0,1
511,33,1,7,0.0825,23.6,236.0,1.0,1
512,47,0,10,0.1125,26.3,263.0,0.5,0
