601. Steps: 22, Found: True, Taken down:4 
602. Steps: 13, Found: True, Taken down:3 
603. Steps: 48, Found: True, Taken down:3 
604. Steps: 35, Found: True, Taken down:3 
605. Steps: 44, Found: True, Taken down:4 
606. Steps: 12, Found: True, Taken down:1 
607. Steps: 32, Found: True, Taken down:4 
608. Steps: 29, Found: False, Taken down:5 
609. Steps: 35, Found: True, Taken down:3 
610. Steps: 21, Found: True, Taken down:4 
611. Steps: 7, Found: True, Taken down:0 
612. Steps: 12, Found: True, Taken down:3 
613. Steps: 13, Found: True, Taken down:3 
614. Steps: 23, Found: True, Taken down:2 
615. Steps: 11, Found: True, Taken down:3 
616. Steps: 19, Found: True, Taken down:1 
617. Steps: 14, Found: True, Taken down:2 
618. Steps: 49, Found: True, Taken down:2 
619. Steps: 31, Found: False, Taken down:5 
620. Steps: 20, Found: True, Taken down:1 
621. Steps: 12, Found: True, Taken down:3 
622. Steps: 17, Found: True, Taken down:2 
623. Steps: 19, Found: True, Taken down:3 
624. Steps: 4, Found: True, Taken down:1 
625. Steps: 0, Found: True, Taken down:1 
626. Steps: 34, Found: True, Taken down:4 
627. Steps: 31, Found: True, Taken down:3 
628. Steps: 52, Found: True, Taken down:4 
629. Steps: 30, Found: False, Taken down:5 
630. Steps: 7, Found: True, Taken down:2 
631. Steps: 9, Found: True, Taken down:2 
632. Steps: 32, Found: True, Taken down:2 
633. Steps: 15, Found: True, Taken down:0 
634. Steps: 41, Found: True, Taken down:3 
635. Steps: 15, Found: True, Taken down:3 
636. Steps: 29, Found: True, Taken down:2 
